ID,O_Q63,O_Q80,O_Q91,O_Q92
2111,social security,"confused, not sure of accuracy.",,
2112,hell make sure the middle class and low income survive,"unpatriotic, shameful a cheatting and slickter",,
2118,"Simply put, Donald Trump is mentally ill and extremely corrupt.",I can't believe that his deplorable supporters are excusing him for this. Shame on them. They always defend him by saying that he donated his salary back. Big deal. The expense of flying Air Force One literally DOZENS of times to Mar-A-Largo has cost taxpayers literally MILLIONS of dollars. The man is a clown.,,
2133,there is none.,"lies,lies",,
2134,It is time for a change for the better.,"Wow, but his total assets that he actually owns minus all the liabilities, makes him around middle class.",,
2140,He doesn't spout off like Trump,Charge him then,,
2141,Because he fair and honest and can be trusted for not lying to the public like Trump does all the time you do not know if he ever tells the truth or is living in space,He has been a crook all his life and only looks after his self and I still can not believe that people voted for him,,Transfer Agent
2144,He is better qualified for the job - and bring back respect for America,It proves how dishonest of a man he is - and how good of an American citizen he is. Trump doesn't care about the American citizens.,,
2145,He is not D. Trump,"His on Welfare ,Just like their welfare mom. But on an larger skill",Disable,
2149,"i do not support Joe Biden he is not good for president. I will vote for Donald Trump, he is the best candidate.",Donald Trump should pay all of his taxes just like everyone else,,
2165,Someone needs a new dogcatcher,Hes got a good accountant,,
2166,A better man than TRUMP,"ThT is terrible when Joe Biden paid $299,000",,
2167,"Although I have some issues with him, Biden has many years of experience in government, and can act in a sane and reasonable manner in governing the country and trying to rebuild our international relationships.","I find this information not at all surprising, but infuriating. He is just another example of how the wealthy are constantly cheating the system and getting away with it.",,
2170,"He isn?t a racist, sexist narcissist",Unsurprised.,,
2179,He is honest and wants to bring Americans together not tear the country apart.,Trump is a fraud and a con man.,,
2181,na,na,,retail
2185,I can?t think of any reason to support him,There was nothing illegal so I think it?s irrelevant,Self employed,
2189,None!,My reaction is I'd like to see proof before I believe anything from mass media,,
2190,really unsure,sickening,disabled,
2192,Honesty guy,Gets me mad,,
2194,He's honest & humble because he has experienced some of the same losses as the rest of us.,I was angry that he thinks he doesn't have to pay taxes.  He should be prosecuted for tax evation,,
2196,He is the better man to lead the country,Is it true?,,
2200,He's strong and cares about people like me.,He should be charged with tax evasion when he leaves office.,,
2204,To get Donald Trump out of office,Not surprised,,
2205,He is going to unite the country.,I think that this is wrong.,,
2208,He will not divide the country into two segments.  He also is not looking to have only white people here.,"He might be working the system to his advantage but he needs to lead by example.  He also,lied about being the highly successful businessman.",,
2210,I would not support Biden for President,I don't know how he could have paid such a small amount since his net worth is in the millions,,
2211,I believe he will be fair to the working class of people and not give in to the wealthy.,What? I know all my taxes were accounted for. Wish I could use his accountant.,,
2213,Nothing,Not sure,,
2217,There is not a reason.  He has done nothing in all his years in politics,"What a bunch of crap.  It would be great if the news could be reported to truthfully.  Even if it was true, if was done legally, what is the problem.  I sure wish Congress members would have their finances scrutinized as much as the president",,
2224,"He will unite, not divide our country",Disgusting,,
2225,"He condemned white supremacists. If you can't do the bare minimum and do that, then why would I even consider voting for you.","What. The. Hell. I paid more in taxes as a minimum wage, part-time worker. Even funnier is the fact that most of his support are much less wealthy than him and paid multiple times the amount he did.",,
2227,He is more honest and has more of the deamenor of a president.,I guess I would want to see it myself because unfortunately most of the media lies or twists the truth.,,
2228,None,It was a lie.,Disabled,
2229,None he has dementia,Awesome,,
2230,none,ridiculously,,
2231,I can find no reason.  He would not actually be an active president...Kamala & the very left will control what he does & says.,"Think it's false, however if true he is allowed to take the legal deductions allowed",,
2234,I?d rather not say exactly why.  But based on my research I believe he is the better candidate.,Unreal.  What a crook.,,
2236,Because I believe he would be a great president,Angry he should go to jail,,
2242,better for the country,he is a crook,,
2244,He is not Trump.,He is a crook and should be impeached,,
2249,he's not Trump.,not surprising,,
2252,He cares about us.,It is crazy.,,
2256,Healthcare,Not surprised,,Small Business owner
2258,He is competent and unify the country.,Either he an incredible bad businessman or he cheats on his taxes.,,
2261,hes a nice person,this seems ok,,
2265,His honesty,That is terrible. Ordinary working people pay thousands into taxes and only earn 50 or 60 thousand a year.  He has to be taking questionable deductions.  Poor people can't get away with doing that.  He should be audited.  .,,
2267,Concerns,Not good,,Retail
2270,none.he a black assed  you know what lover!!!,i couldnt care less.just wanna know how he did it!!!,,
2271,I really don?t know,I don?t know the whole story or the circumstances of why it?s only that much.  I know he has interest and determination to make America great and that is what?s important.  What happened in the past is in the past.  Let?s focus on the future!!!!!!,,
2281,Nothing to support him for.,Says who?? Trump haters,,
2284,"I don?t care for either one, but I dislike Trump much more.","It makes me sad that the rich always find a way to get around paying their fair share. If they could walk in our shoes for awhile, I bet things would be different.",,
2294,There isn't one.  He has been in this field for awhile and has done nothing so why would he start now? He talks stupid and doesn't remember things alot this is not someone that I would want to run my country.,It doesn't affect me at all so I really don't care.,,
2296,because its very good and i love it very much,its very good and nice and had know,,
2301,We need someone who can bring us together not break us apart,Unfairness,,
2302,I see no good reason to support Joe Biden for president.  He is a frightening far left liberal who is trying to destroy America,This is propaganda.  I have read that he paid millions of dollars in taxes,,
2306,He's a great guy maybe a little older but he knows what he's doing he'll briback America,it doesn't surprise me he gets away with so much stuff as a President it sickens me,,
2308,He will stabilize America after the dumpster fire of the last 4 yrs,Zero Surprise. The rich can game the system to pay as little as possible.,,
2310,Health care,Annoyed,,
2316,"he cares about the middle class, and I am middle class.  Donald Trump looks out for the upper class only.",it makes me mad that the rich pay a smaller percentage in taxes than the middle class and poor people!  It made me pretty mad that the system is so flawed.,,
